continet,country,code,latitude,longitude,total 2018,total 2017,total 2016,total 2015
Europe,Faroe Islands,FRO,62.07402725,-6.870554776,35,27,4,3
Europe,Albania,ALB,41.12682491,20.05558126,34,16,5,1
Africa,Tanzania,TZA,-6.447689401,34.97317973,33,24,15,9
Asia,Bangladesh,BGD,23.84849137,90.24021825,32,12,4,3
Asia,Georgia,GEO,42.16941629,43.48832528,32,11,1,0
Asia,Macao,MAC,22.15778526,113.5501968,32,23,3,1
Asia,Kazakhstan,KAZ,48.16721763,67.32263112,31,14,0,0
Europe,Monaco,MCO,43.73889412,7.399399805,30,25,8,3
Africa,Morocco,MAR,29.84137065,-8.397634248,30,21,6,5
North America,El Salvador,SLV,13.73645201,-88.87221538,29,14,1,1
Africa,Uganda,UGA,1.508020377,32.3208936,29,16,12,8
North America,Dominican Republic,DOM,18.8964211,-70.49633767,28,12,0,0
Oceania,Fiji,FJI,-17.44756196,163.4078621,27,22,4,2
Africa,Ghana,GHA,7.953954766,-1.2165238,25,16,6,3
Africa,Namibia,NAM,-22.12924664,17.2111332,25,13,4,2
Africa,Botswana,BWA,-22.18577232,23.79898673,24,14,3,3
Africa,Zimbabwe,ZWE,-19.01653697,29.86305073,24,20,9,7
Europe,Macedonia,MKD,41.61215616,21.70329389,22,11,1,0
South America,Venezuela,VEN,7.127731558,-66.16884033,22,10,1,1
Africa,Zambia,ZMB,-13.47955422,27.76239787,21,15,8,7
Africa,Mozambique,MOZ,-17.31263123,35.54588983,20,18,4,3
Africa,Reunion,#N/A,-21.146367,55.553433,20,12,5,0
North America,Honduras,HND,14.82067617,-86.62545428,19,4,0,0
Asia,Myanmar,MMR,21.16998379,96.48908234,19,16,3,1
North America,Antigua and Barbuda,ATG,17.28438023,-61.79173246,17,12,5,2
Europe,Belarus,BLR,53.53192375,28.03379167,17,4,0,0
South America,Bolivia,BOL,-16.70879935,-64.6722177,17,7,1,1
South America,Paraguay,PRY,-23.22259999,-58.41034596,17,9,1,0
North America,Saint Kitts and Nevis,KNA,17.27104225,-62.69854545,17,7,2,1
North America,"Virgin Islands, U.S.",VIR,17.98054561,-64.79765445,17,16,0,0
